shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100429_DEC16,34.08562081,-118.3828443,10001
100429_DEC16,34.08612056,-118.3820936,10002
100429_DEC16,34.08663948,-118.3813595,10003
100429_DEC16,34.08499896,-118.3813685,10004
100429_DEC16,34.08422206,-118.3837362,10005
100429_DEC16,34.08386767,-118.3837082,10006
100429_DEC16,34.08341702,-118.3837061,10007
100429_DEC16,34.08279601,-118.3837033,10008
100429_DEC16,34.08260366,-118.3837024,10009
100429_DEC16,34.08249645,-118.3837151,10010
100429_DEC16,34.08240032,-118.3837015,10011
100429_DEC16,34.08232351,-118.3836615,10012
100429_DEC16,34.08209034,-118.3835349,10013
100429_DEC16,34.08209034,-118.3835349,20001
100429_DEC16,34.08175842,-118.383355,20002
100429_DEC16,34.08139093,-118.3831255,20003
100429_DEC16,34.08159908,-118.3824759,20004
100429_DEC16,34.08170999,-118.3821593,20005
100429_DEC16,34.08175165,-118.3820208,20006
100429_DEC16,34.08180733,-118.3817932,20007
100429_DEC16,34.08183799,-118.3816546,20008
100429_DEC16,34.08191868,-118.381338,20009
100429_DEC16,34.08197202,-118.3809815,20010
100429_DEC16,34.08198115,-118.3806976,20011
100429_DEC16,34.08198717,-118.3805325,20012
100429_DEC16,34.08198717,-118.3805325,30001
100429_DEC16,34.08199038,-118.3803872,30002
100429_DEC16,34.08197877,-118.3797101,30003
100429_DEC16,34.08196285,-118.3786532,30004
100429_DEC16,34.08194417,-118.3775964,30005
100429_DEC16,34.08193956,-118.3773156,30006
100429_DEC16,34.08195802,-118.3766816,30007
100429_DEC16,34.08195802,-118.3766816,40001
100429_DEC16,34.08196112,-118.3765694,40002
100429_DEC16,34.08197501,-118.3765199,40003
100429_DEC16,34.08201105,-118.3764177,40004
100429_DEC16,34.08206637,-118.3763023,40005
100429_DEC16,34.08212716,-118.3761936,40006
100429_DEC16,34.08217417,-118.3760981,40007
100429_DEC16,34.08305102,-118.3742427,40008
100429_DEC16,34.08309533,-118.3741306,40009
100429_DEC16,34.08321154,-118.3738735,40010
100429_DEC16,34.08338857,-118.3734945,40011
100429_DEC16,34.08338857,-118.3734945,50001
100429_DEC16,34.08345497,-118.3733495,50002
100429_DEC16,34.08354349,-118.3731584,50003
100429_DEC16,34.08360997,-118.3729869,50004
100429_DEC16,34.08364333,-118.3728616,50005
100429_DEC16,34.08365178,-118.3727956,50006
100429_DEC16,34.08367009,-118.3722045,50007
100429_DEC16,34.08367156,-118.3717256,50008
100429_DEC16,34.08368132,-118.3712336,50009
100429_DEC16,34.08369524,-118.3702792,50010
100429_DEC16,34.08370945,-118.3692291,50011
100429_DEC16,34.08370945,-118.3692291,60001
100429_DEC16,34.0837127,-118.369064,60002
100429_DEC16,34.0837297,-118.367994,60003
100429_DEC16,34.08374668,-118.3669307,60004
100429_DEC16,34.08376035,-118.3660456,60005
100429_DEC16,34.08376035,-118.3660456,70001
100429_DEC16,34.0837636,-118.3658805,70002
100429_DEC16,34.08378056,-118.3648172,70003
100429_DEC16,34.08379753,-118.3637439,70004
100429_DEC16,34.08381449,-118.362674,70005
100429_DEC16,34.08383193,-118.3614389,70006
100429_DEC16,34.08382467,-118.3611086,70007
100429_DEC16,34.08382467,-118.3611086,80001
100429_DEC16,34.08381284,-118.3604712,80002
100429_DEC16,34.0837934,-118.359619,80003
100429_DEC16,34.0837934,-118.359619,90001
100429_DEC16,34.08378839,-118.3594539,90002
100429_DEC16,34.08376404,-118.3584002,90003
100429_DEC16,34.08374464,-118.3575283,90004
100429_DEC16,34.08374464,-118.3575283,100001
100429_DEC16,34.08373964,-118.3573631,100002
100429_DEC16,34.0837179,-118.3563492,100003
100429_DEC16,34.0836935,-118.3553054,100004
100429_DEC16,34.08367181,-118.3542684,100005
100429_DEC16,34.08365241,-118.3533865,100006
100429_DEC16,34.08365241,-118.3533865,110001
100429_DEC16,34.08365015,-118.3532214,110002
100429_DEC16,34.08362832,-118.3522272,110003
100429_DEC16,34.08360637,-118.3512727,110004
100429_DEC16,34.08360637,-118.3512727,120001
100429_DEC16,34.0836041,-118.3511075,120002
100429_DEC16,34.08357485,-118.3498227,120003
100429_DEC16,34.08355305,-118.3488088,120004
100429_DEC16,34.08355305,-118.3488088,130001
100429_DEC16,34.08355078,-118.3486436,130002
100429_DEC16,34.08352406,-118.3474249,130003
100429_DEC16,34.08349728,-118.3462259,130004
100429_DEC16,34.08347562,-118.3451525,130005
100429_DEC16,34.08345358,-118.3442112,130006
100429_DEC16,34.08345358,-118.3442112,140001
100429_DEC16,34.0834513,-118.3440461,140002
100429_DEC16,34.0834549,-118.3427779,140003
100429_DEC16,34.08345779,-118.3417607,140004
