route_id,stop_sequence,stop_name,lat,lon,stop_id
2, 1, Terminal 28 - West Lot, 34.033504, -118.265139, 14915
2, 2, Broadway / Venice, 34.033969, -118.263539, 4756
2, 3, Broadway / Pico, 34.036907, -118.261152, 4819
2, 4, Broadway / 12th, 34.037961, -118.260255, 15598
2, 5, Broadway / Olympic, 34.041494, -118.256654, 4818
2, 6, Broadway / 8th, 34.043042, -118.255203, 1248
2, 7, Broadway / 7th, 34.045509, -118.252927, 16947
2, 8, Broadway / 5th, 34.048187, -118.250466, 4787
2, 9, Broadway / 3rd, 34.0511, -118.247714, 13227
2, 10, Broadway / 1st, 34.053969, -118.244999, 4767
2, 11, Broadway / Arcadia, 34.056942, -118.242212, 11900
2, 12, Cesar E Chavez / Broadway, 34.058812, -118.240401, 9221
2, 13, Cesar E Chavez / Grand, 34.060901, -118.24398, 16927
2, 14, Sunset / Figueroa, 34.062943, -118.246409, 16329
2, 15, Sunset / Beaudry, 34.06515, -118.248988, 16319
2, 16, Sunset / Marion, 34.068088, -118.249987, 16314
2, 17, Sunset / Vin Scully - Dodger Stadium, 34.072623, -118.250922, 2422
2, 18, Sunset / Douglas, 34.07413, -118.251735, 16302
2, 19, Sunset / Portia, 34.075518, -118.254144, 14764
2, 20, Sunset / Echo Park, 34.077066, -118.257708, 16304
2, 21, Sunset / Park, 34.078077, -118.261545, 16351
2, 22, Sunset / Alvarado, 34.077802, -118.263146, 16318
2, 23, Sunset / Rosemont, 34.078155, -118.266116, 16353
2, 24, Sunset / Coronado, 34.079526, -118.268749, 16323
2, 25, Sunset / Benton, 34.08049, -118.270132, 16320
2, 26, Sunset / Silver Lake, 34.083148, -118.273285, 8591
2, 27, Sunset / Descanso, 34.085325, -118.27461, 16301
2, 28, Sunset / Micheltorena, 34.087806, -118.275797, 16315
2, 29, Sunset / Maltman, 34.08965, -118.276685, 16313
2, 30, Sunset / Lucile, 34.090979, -118.278555, 16312
2, 31, Sunset / Hyperion, 34.092103, -118.279844, 16309
2, 32, Sunset / Bates, 34.09463, -118.282574, 16291
2, 33, Sunset / Fountain, 34.096107, -118.284208, 16305
2, 34, Sunset / Virgil, 34.098294, -118.287736, 16345
2, 35, Sunset / Vermont, 34.098288, -118.291492, 16350
2, 36, Sunset / Edgemont, 34.09827, -118.296463, 16327
2, 37, Sunset / Alexandria, 34.098261, -118.298154, 16317
2, 38, Sunset / Normandie, 34.098255, -118.300347, 16338
2, 39, Sunset / Kingsley, 34.09825, -118.303399, 16335
2, 40, Sunset / Western, 34.098235, -118.309566, 16346
2, 41, Sunset / Wilton, 34.098222, -118.313431, 16348
2, 42, Sunset / Bronson, 34.098183, -118.317811, 16321
2, 43, Sunset / Gower, 34.098161, -118.322138, 14791
2, 44, Sunset / Vine, 34.098142, -118.326983, 14807
2, 45, Sunset / Ivar, 34.098138, -118.328575, 16310
2, 46, Sunset / Wilcox, 34.098129, -118.330844, 16368
2, 47, Sunset / Cherokee, 34.09812, -118.335115, 16322
2, 48, Sunset / Highland, 34.098116, -118.338484, 16332
2, 49, Sunset / Orange, 34.098111, -118.34121, 16339
2, 50, Sunset / La Brea, 34.098117, -118.343951, 16336
2, 51, Sunset / Poinsettia, 34.098134, -118.348496, 16340
2, 52, Sunset / Martel, 34.098141, -118.34987, 16337
2, 53, Sunset / Gardner, 34.098161, -118.352665, 16330
2, 54, Sunset / Stanley, 34.098187, -118.355938, 16342
2, 55, Sunset / Fairfax, 34.09818, -118.361868, 11989
2, 56, Sunset / Crescent Heights, 34.098139, -118.365481, 16324
2, 57, Sunset / Sweetzer, 34.096477, -118.370828, 16343
2, 58, Sunset / Kings, 34.095424, -118.37259, 16334
2, 59, Sunset / Miller, 34.094243, -118.376839, 14756
2, 60, Sunset / Sunset Plaza, 34.092542, -118.379524, 16364
2, 61, Sunset / Horn, 34.090915, -118.383225, 16308
2, 62, Sunset / Clark, 34.090771, -118.385368, 16300
2, 63, Sunset / Hammond, 34.090764, -118.387459, 16307
